gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YOR161C	r_1684	choline[ce] <=> choline[c]	 Probably involved in transport through the plasma membrane. {ECO:0000250}.	MNXM90	none	"Protein of unknown function; has similarity to Torpedo californica tCTL1p, which is postulated to be a choline transporter, neither null mutation nor overexpression affects choline transport"	NA	Protein of unknown function	NA	Protein PNS1 (pH nine-sensitive protein 1)	2 out of 5	NA	"PNS1; Pns1p"	NA	pH Nine Sensitive	"Cho transports from the extracellular space to the cytosol;Cho transports from the extracellular space to the cytosol;Cho transports from the extracellular space to the cytosol;Cho transports from the extracellular space to the cytosol;Cho transports from the extracellular space to the cytosol;SLC44A1 transports Cho from cytosol to mitochondrial matrix;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.92.1.8	Protein PNS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNS1 PE=1 SV=1	FALSE
YDR342C	r_1707	D-arabinose[e] <=> D-arabinose[c]	 High-affinity glucose transporter.	MNXM48397	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT7	5 out of 5	NA	"HXT7; hexose transporter HXT7"	NA	HeXose Transporter	NA	2.A.1.1.31	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1	FALSE
YHR092C	r_1707	D-arabinose[e] <=> D-arabinose[c]	 Low-affinity glucose transporter. Can also transport xylose. {ECO:0000269|PubMed:17180689}.	MNXM48397	none	"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	5 out of 5	NA	"HXT4, LGT1, RAG1; hexose transporter HXT4"	NA	HeXose Transporter	NA	2.A.1.1.30	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YDL245C	r_1717	D-glucitol[e] <=> D-glucitol[c]	 Probable glucose transporter.	MNXM469	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT15	5 out of 5	NA	"HXT15, HLT2; hexose transporter HXT15"	NA	HeXose Transporter	NA	2.A.1.1.107	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1	FALSE
YEL069C	r_1717	D-glucitol[e] <=> D-glucitol[c]	 Probable glucose transporter.	MNXM469	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by non-fermentable carbon sources; induced in low glucose, repressed in high glucose; HXT13 has a paralog, HXT17, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT13	4 out of 5	NA	"HXT13, HLT1; hexose transporter HXT13"	NA	HeXose Transporter	NA	2.A.1.1.110	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1	FALSE
YJR158W	r_1717	D-glucitol[e] <=> D-glucitol[c]	 Probable glucose transporter.	MNXM469	none	"Putative transmembrane polyol transporter; supports growth on and uptake of sorbitol with moderate affinity and mannitol with lower affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT16	4 out of 5	NA	"HXT16, HLT3; hexose transporter HXT16"	NA	HeXose Transporter	NA	NA	NA	FALSE
YNR072W	r_1717	D-glucitol[e] <=> D-glucitol[c]	 Probable glucose transporter.	MNXM469	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by raffinose and galactose at pH 7.7 versus pH 4.7, repressed by high levels of glucose; HXT17 has a paralog, HXT13, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT17	4 out of 5	NA	"HXT17, HLT4; hexose transporter HXT17"	NA	HeXose Transporter	NA	NA	NA	FALSE
YHR092C	r_1719	D-xylose[e] <=> D-xylose[c]	 Low-affinity glucose transporter. Can also transport xylose. {ECO:0000269|PubMed:17180689}.	MNXM90941	none	"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	5 out of 5	NA	"HXT4, LGT1, RAG1; hexose transporter HXT4"	NA	HeXose Transporter	NA	2.A.1.1.30	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YBL042C	r_1735	2'-deoxyuridine[e] => 2'-deoxyuridine[c]	 High-affinity transport of uridine.	MNXM492	none	"High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress"	NA	High affinity uridine permease, localizes to the plasma membrane	NA	Uridine permease	4 out of 5	NA	"FUI1; uridine permease"	NA	5-FlUorourIdine resistance	NA	2.A.39.3.3	URIDINE PERMEASE - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YIL013C	r_1760	ergosterol[c] <=> ergosterol[ce]	 Transporter involved in the uptake of sterol. {ECO:0000269|PubMed:12077145}.	MNXM922	none	"ATP-binding cassette (ABC) transporter; multidrug transporter involved in multiple drug resistance; mediates sterol uptake when sterol biosynthesis is compromised; regulated by Pdr1p; required for anaerobic growth; PDR11 has a paralog, AUS1, that arose from the whole genome duplication"	NA	ATP-binding cassette (ABC) transporter	NA	ATP-dependent permease PDR11	4 out of 5	NA	"PDR11; ATP-binding cassette multidrug transporter PDR11"	NA	Pleiotropic Drug Resistance	NA	3.A.1.205.8	ATP-dependent permease PDR11 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YOR011W	r_1760	ergosterol[c] <=> ergosterol[ce]	 Transporter involved in the uptake of sterol. {ECO:0000269|PubMed:12077145}.	MNXM922	none	"Plasma membrane sterol transporter of the ATP-binding cassette family; required, along with Pdr11p, for uptake of exogenous sterols and their incorporation into the plasma membrane; activity is stimulated by phosphatidylserine; sterol uptake is required for anaerobic growth because sterol biosynthesis requires oxygen; AUS1 has a paralog, PDR11, that arose from the whole genome duplication"	NA	Plasma membrane sterol transporter of the ATP-binding cassette family	NA	ATP-dependent permease AUS1	3 out of 5	NA	"AUS1; ATP-binding cassette sterol transporter AUS1"	NA	ABC protein involved in Uptake of Sterols	NA	3.A.1.205.15	ATP-dependent permease AUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AUS1 PE=1 SV=1	FALSE
YKL188C	r_1771	laurate[c] <=> laurate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM402	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p	NA	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2)	5 out of 5	NA	"PXA2, PAT1; ATP-binding cassette long-chain fatty acid transporter PXA2"	NA	PeroXisomal ABC-transporter	NA	3.A.1.203.2	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).	TRUE
YPL147W	r_1771	laurate[c] <=> laurate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM402	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p	NA	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	5 out of 5	NA	"PXA1, LPI1, PAL1, PAT2, SSH2; ATP-binding cassette long-chain fatty acid transporter PXA1"	NA	PeroXisomal ABC-transporter	"Translocation of tetracosahexaenoyl-CoA to peroxisomes;Translocation of tetracosapentaenoyl-CoA to peroxisomes;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;Peroxisomal uptake of very long-chain fatty acyl CoA;ABCD4 may transport Cbl from lysosomal lumen to cytosol"	3.A.1.203.6	"Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).;Peroxisomal long-chain fatty acid import protein 2 OS=Saccharomyces cerevisiae GN=PXA1 PE=1 SV=2"	TRUE
YKL188C	r_1772	myristate[c] <=> myristate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM314	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p	NA	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2)	5 out of 5	NA	"PXA2, PAT1; ATP-binding cassette long-chain fatty acid transporter PXA2"	NA	PeroXisomal ABC-transporter	NA	3.A.1.203.2	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).	TRUE
YPL147W	r_1772	myristate[c] <=> myristate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM314	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p	NA	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	5 out of 5	NA	"PXA1, LPI1, PAL1, PAT2, SSH2; ATP-binding cassette long-chain fatty acid transporter PXA1"	NA	PeroXisomal ABC-transporter	"Translocation of tetracosahexaenoyl-CoA to peroxisomes;Translocation of tetracosapentaenoyl-CoA to peroxisomes;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;Peroxisomal uptake of very long-chain fatty acyl CoA;ABCD4 may transport Cbl from lysosomal lumen to cytosol"	3.A.1.203.6	"Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).;Peroxisomal long-chain fatty acid import protein 2 OS=Saccharomyces cerevisiae GN=PXA1 PE=1 SV=2"	TRUE
YKL188C	r_1774	palmitate[c] <=> palmitate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM108	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p	NA	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2)	5 out of 5	NA	"PXA2, PAT1; ATP-binding cassette long-chain fatty acid transporter PXA2"	NA	PeroXisomal ABC-transporter	NA	3.A.1.203.2	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).	TRUE
YPL147W	r_1774	palmitate[c] <=> palmitate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM108	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p	NA	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	5 out of 5	NA	"PXA1, LPI1, PAL1, PAT2, SSH2; ATP-binding cassette long-chain fatty acid transporter PXA1"	NA	PeroXisomal ABC-transporter	"Translocation of tetracosahexaenoyl-CoA to peroxisomes;Translocation of tetracosapentaenoyl-CoA to peroxisomes;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;Peroxisomal uptake of very long-chain fatty acyl CoA;ABCD4 may transport Cbl from lysosomal lumen to cytosol"	3.A.1.203.6	"Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).;Peroxisomal long-chain fatty acid import protein 2 OS=Saccharomyces cerevisiae GN=PXA1 PE=1 SV=2"	TRUE
YNL065W	r_1795	formate[e] <=> formate[c]	 Probable transporter that confers resistance to short-chain monocarboxylic acids and quinidine. {ECO:0000269|PubMed:11922628}.	MNXM39	none	"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids; AQR1 has a paralog, QDR1, that arose from the whole genome duplication; relocalizes from plasma membrane to cytoplasm upon DNA replication stress"	NA	Plasma membrane transporter of the major facilitator superfamily	NA	Probable transporter AQR1	4 out of 5	NA	"AQR1; Aqr1p"	NA	Acids Quinidine Resistance	NA	2.A.1.2.36	Probable transporter AQR1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YGL225W	r_1803	GDP-alpha-D-mannose[c] <=> GDP-alpha-D-mannose[g]	 Involved in the import of GDP-mannose from the cytoplasm into the Golgi lumen. Defective copy causes severe glycosylation defect and abnormal retention of soluble endoplasmic reticulum proteins. Involved in vanadate sensitivity. {ECO:0000269|PubMed:10570930, ECO:0000269|PubMed:11067855, ECO:0000269|PubMed:12478588, ECO:0000269|PubMed:15494368, ECO:0000269|PubMed:2014241, ECO:0000269|PubMed:2137555, ECO:0000269|PubMed:7672592, ECO:0000269|PubMed:7877969, ECO:0000269|PubMed:8632002, ECO:0000269|PubMed:9184829, ECO:0000269|PubMed:9335583, ECO:0000269|PubMed:9395539}.	MNXM82	none	"Golgi GDP-mannose transporter; regulates Golgi function and glycosylation in Golgi; VRG4 has a paralog, HVG1, that arose from the whole genome duplication"	NA	Golgi GDP-mannose transporter	NA	GDP-mannose transporter 1 (GMT 1) (Low dye-binding protein 3) (Morphogenesis checkpoint-dependent protein 3) (Vanadate resistance glycosylation protein 4)	5 out of 5	NA	"VRG4, GOG5, LDB3, VAN2, VIG4; GDP-mannose transporter"	NA	Vandate Resistance Glycosylation	NA	2.A.7.13.1	Vanadate resistance protein GOG5/VRG4/VAN2 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YPR058W	r_1811	L-glycine[c] <=> L-glycine[m]	NA	MNXM29	none	"Secondary mitochondrial inner membrane glycine transporter; required with HEM25 for the transport of glycine into mitochondria for the initiation of heme biosynthesis; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; localizes to the vacuole in response to H2O2; YMC1 has a paralog, YMC2, that arose from the whole genome duplication"	NA	Secondary mitochondrial inner membrane glycine transporter	NA	Carrier protein YMC1, mitochondrial	3 out of 5	NA	"YMC1; organic acid transporter"	NA	Yeast Mitochondrial Carrier	NA	2.A.29.8.12	Carrier protein YMC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC1 PE=1 SV=2	FALSE
YNL065W	r_1816	glyoxylate[c] <=> glyoxylate[e]	 Probable transporter that confers resistance to short-chain monocarboxylic acids and quinidine. {ECO:0000269|PubMed:11922628}.	MNXM69	none	"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids; AQR1 has a paralog, QDR1, that arose from the whole genome duplication; relocalizes from plasma membrane to cytoplasm upon DNA replication stress"	NA	Plasma membrane transporter of the major facilitator superfamily	NA	Probable transporter AQR1	4 out of 5	NA	"AQR1; Aqr1p"	NA	Acids Quinidine Resistance	NA	2.A.1.2.36	Probable transporter AQR1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
